-e	-e	Rq-y
Fábiánnak	Fábián	Np-sd
Fényesfekete	Fényesfekete	Nc-sn
Földközi-tenger	Földközi-tenger	Np-sn
Földközi-tengeren	Földközi-tenger	Np-sp
Fölöttük	fölött	St
Für	Für	Np-sn
Fürt	Für	Np-sa
GDP	GDP	Nc-sn
Gabriella	Gabriella	Np-sn
Ganéháznak	Ganéház	Nc-sd
Genfi-tóhoz	Genfi-tó	Np-st
George	George	Np-sn
Gershwin-parafrázisokat	Gershwin-parafrázis	Nc-pa
Gestapo	Gestapo	Np-sn
Ghána	Ghána	Np-sn
Ghána-Mozambik	Ghána-Mozambik	Np-sn
Gitta	Gitta	Np-sn
Gitta-ügy	Gitta-ügy	Nc-sn
Gittácska	Gittácska	Np-sn
Gittácskát	Gittácská	Np-sa
Gittája	Gitta	Np-sn---s3
Gittát	Gitta	Np-sa
Gogol-regények	Gogol-regény	Nc-pn
Goldstein	Goldstein	Nc-sn
Goldsteinnek	Goldstein	Nc-sn
Goldsteinnel	Goldstein	Nc-si
Goldsteinre	Goldstein	Nc-ss
Goldsteinről	Goldstein	Nc-sh
Goldsteint	Goldstein	Nc-sa
Goldsteintől	Goldstein	Nc-sb
Guatemalát	Guatemala	Np-sa
Gusztáv	Gusztáv	Np-sn
Gyula	Gyula	Np-sn
Gyulát	Gyula	Np-sa
Gyulától	Gyula	Np-sb
Gyöngyi	Gyöngyi	Np-sn
Gyöngyikét	Gyöngyi	Np-pa-----s
Gyöngyit	Gyöngyi	Np-sa
Gyöngyös	Gyöngyös	Np-sn
György	György	Np-sn
Györgyi	Györgyi	Afp-sn
Györgyi	Györgyi	Np-sn
Györgyit	Györgyi	Afp-sa
Györgyit	Györgyi	Np-sa
Györgynek	György	Np-sd
Györgytől	György	Np-sb
Györgyöt	György	Np-sa
Győr	Győr	Np-sn
Győri	Győri	Afp-sn
Gábor	Gábor	Np-sn
Gáborhoz	Gábor	Np-st
Gábort	Gábor	Np-sa
Gál	Gál	Np-sn
Gárdonyi	Gárdonyi	Afp-sn
Gárdonyi	Gárdonyi	Np-sn
Gáspár	Gáspár	Np-sn
Géza	Géza	Np-sn
Gödöllőhöz	Gödöllő	Np-st
Gödöllőn	Gödöllő	Np-sp
Göncz	Göncz	Np-sn
Görgey	Görgey	Np-sn
Görögország	Görögország	Np-sn
Görögországnak	Görögország	Np-sd
Habsburg-dinasztiához	Habsburg-dinasztia	Np-st
Hajdú-Bihar	Hajdú-Bihar	Nc-sn
Hajdú-Bihar	Hajdú-Bihar	Np-sn
Handelsblatt	Handelsblatt	Np-sn
Havanna	Havanna	Np-sn
Haydnt	Haydn	Np-sa
Hegyeshalom	Hegyeshalom	Np-sn
Helyette	helyett	St
Hermina	Hermina	Np-sn
Heves	Heves	Np-sn
Hitler	Hitler	Np-sn
Hollandiában	Hollandia	Np-s2
Honda	Honda	Np-sn
Hongkong	Hongkong	Np-sn
Horn	Horn	Np-sn
Horn-kormány	Horn-kormány	Nc-sn
Horthy	Horthy	Np-sn
Horthy-korszak	Horthy-korszak	Nc-sn
Horthynak	Horthy	Np-sd
Hortobágy	Hortobágy	Np-sn
Horváth	Horváth	Np-sn
Hozzá	ő	Pp3-st
Hungaroton	Hungaroton	Np-sn
Hungary	Hungary	Np-sn
Hungária	Hungária	Np-sn
Hyde	Hyde	Nc-sn
Hágában	Hága	Np-s2
Hófehérkét	Hófehérke	Np-sa
I	I	Vmip3s---n
I-V	I-V	Y
I.	I.	Y
IBM	IBM	Np-sn
IBM-számítógépeket	IBM-számítógép	Nc-pa
II	II	Y
II-XXIII	II-XXIII	Y
II.	II.	Y
III	III	Y
IV	IV	Y
IV.	IV.	Y
IX	IX	Y
Ildikó	Ildikó	Np-sn
Iliescu	Iliescu	Np-sn
Illés	Illés	Np-sn
Ilon	Ilon	Np-sn
Ilon-hangra	Ilon-hang	Nc-ss
Ilona	Ilona	Np-sn
Ilont	Ilon	Np-sa
Imre	Imre	Np-sn
Imrének	Imre	Np-sd
Imrétől	Imre	Np-sb
India-papirosú	India-papirosú	Afp-sn
Indiai-óceán	Indiai-óceán	Np-sn
Indiai-óceánból	Indiai-óceán	Np-se
Indiában	India	Np-s2
Indiából	India	Np-se
Indiát	India	Np-sa
Ingatlanbefektetési	Ingatlanbefektetési	Afp-sn
Inprekor	Inprekor	Nc-sn
Irina	Irina	Np-sn
István	István	Np-sn
Istvánnal	István	Np-si
Istvántól	István	Np-sb
Iván	Iván	Np-sn
Ivánnal	Iván	Np-si
Ivánt	Iván	Np-sa
Izland	Izland	Np-sn
Izrael	Izrael	Np-sn
Izraelbe	Izrael	Np-sx
Izraelben	Izrael	Np-s2
Izraeli	Izraeli	Afp-sn
Izraellel	Izrael	Np-si
Izvesztyija	Izvesztyija	Np-sn
J	J	Y
J.	J.	Y
Jancsi	Jancsi	Np-sn
Jancsit	Jancsi	Np-sa
Jancsival	Jancsi	Np-si
Japán	Japán	Np-sn
Japánban	Japán	Np-s2
Japánnal	Japán	Np-si
Jefferson	Jefferson	Nc-sn
Jehova	Jehova	Np-sn
Jehovát	Jehova	Np-sa
Jelcin	Jelcin	Np-sn
Jelcinnek	Jelcin	Np-sd
Jenő	Jenő	Np-sn
Jenőtől	Jenő	Np-sb
Jeruzsálemben	Jeruzsálem	Np-s2
John	John	Np-sn
Jones	Jones	Np-sn
Jonest	Jones	Np-sa
Judit	Judit	Np-sn
Jugoszlávia	Jugoszlávia	Np-sn
Jugoszláviától	Jugoszlávia	Np-sb
Julcsámat	Julcsa	Np-sa
Julcsámnak	Julcsa	Np-sd
Julia	Julia	Nc-sn
Julianna	Julianna	Np-sn
Julius	Julius	Nc-sn
Juliának	Julia	Nc-sd
Juliára	Julia	Nc-ss
Juliáról	Julia	Nc-sh
Juliát	Julia	Nc-sa
Juliával	Julia	Nc-si
Juliáé	Julia	Nc-sn-----s
Jupiter	Jupiter	Np-sn
Jupiter-kutatók	Jupiter-kutató	Afc-pn
Jupiter-kutatók	Jupiter-kutató	Nc-pn
Jupiterbe	Jupiter	Np-sx
Jupiteren	Jupiter	Np-sp
János	János	Np-sn
Jánosban	János	Np-s2
Jánosnak	János	Np-sd
Jánosnál	János	Np-s3
Jánost	János	Np-sa
Jánostól	János	Np-sb
Jászberény	Jászberény	Np-sn
Jászság	Jászság	Np-sn
Jászságban	Jászság	Np-s2
Jáva	Jáva	Np-sn
Jézus	Jézus	Np-sn
Jókai	Jókai	Np-sn
Jóska	Jóska	Np-sn
Jóskával	Jóska	Np-si
József	József	Np-sn
Józsefben	József	Np-s2
Józsefből	József	Np-se
Józsefemre	József	Np-ss---s1
Józsefet	József	Np-sa
Józseffel	József	Np-si
Józsefnek	József	Np-sd
Józseftől	József	Np-sb
Józsefvárosban	Józsefváros	Np-s2
Józsi	Józsi	Np-sn
Józsiban	Józsi	Np-s2
Józsikám	Józsika	Np-sn---s1
Józsikát	Józsika	Np-sa
Józsira	Józsi	Np-ss
Júlia	Júlia	Np-sn
Júliát	Júlia	Np-sa
K	K	Y
K-országokból	K-ország	Np-pe
KB	KB	Np-sn
KDNP	KDNP	Np-sn
KDNP-nek	KDNP	Np-sd
KDNP-t	KDNP	Np-sa
KSH	KSH	Np-sn
KSH-felmérés	KSH-felmérés	Nc-sn
Kadhafi	Kadhafi	Np-sn
Kamerun	Kamerun	Np-sn
Kanada	Kanada	Np-sn
Kanadai	Kanadai	Afp-sn
Kanadába	Kanada	Np-sx
Kanadában	Kanada	Np-s2
Kaposvár	Kaposvár	Np-sn
Kaposváron	Kaposvár	Np-sp
Kaposvárott	Kaposvár	Np-s2
Kaposvárra	Kaposvár	Np-ss
Kaposvárról	Kaposvár	Np-sh
Karcagi	Karcagi	Afp-sn
Karcsi	Karcsi	Np-sn
Karcsi-bábut	Karcsi-bábu	Nc-sa
Karcsi-bábút	Karcsi-bábú	Afp-sa
Karcsi-bábút	Karcsi-bábút	Nc-sn
Karcsit	Karcsi	Np-sa
Kassán	Kassa	Np-sp
Kaszpi-tenger-melléki	Kaszpi-tenger-melléki	Afp-sn
Katalin	Katalin	Np-sn
Katharine	Katharine	Nc-sn
Katharine-hez	Katharine	Nc-st
Katharine-t	Katharine	Nc-sa
Kati	Kati	Np-sn
Katival	Kati	Np-si
Kazincbarcikáról	Kazincbarcika	Np-sh
Kecskeméten	Kecskemét	Np-sp
Kecskemétnél	Kecskemét	Np-s3
Kelet-Bosznia	kelet-Bosznia	Nc-sn
Kelet-Boszniában	kelet-Bosznia	Nc-s2
Kelet-Európában	Kelet-Európa	Nc-s2
Kelet-Európában	Kelet-Európa	Np-s2
Kelet-Jeruzsálemben	Kelet-Jeruzsálem	Nc-s2
Kelet-Közép-Európa	Kelet-Közép-Európa	Nc-sn
Keletázsia	Keletázsia	Nc-sn
Keletázsiában	Keletázsia	Nc-s2
Keletázsiára	Keletázsia	Nc-ss
Keletázsiát	Keletázsia	Nc-sa
Keletázsiával	Keletázsia	Nc-si
Kende	Kende	Np-sn
Kennedy	Kennedy	Np-sn
Kennedy-testvérekig	Kennedy-testvér	Np-p9
Kilián	Kilián	Np-sn
Kipling	Kipling	Np-sn
Kispest	Kispest	Np-sn
Kispesten	Kispest	Np-sp
Kiss	Kiss	Np-sn
Kissé	Kiss	Np-sn-----s
Kissé	Kiss	Np-sy
Klára	Klára	Np-sn
Klári	Klári	Np-sn
Klárában	Klára	Np-s2
Klárácska	Klárácska	Np-sn
Klárához	Klára	Np-st
Klárának	Klára	Np-sd
Klárára	Klára	Np-ss
Klárát	Klára	Np-sa
Klárával	Klára	Np-si
Kodály	Kodály	Np-sn
Kodályt	Kodály	Np-sa
Kolozsvári	Kolozsvári	Afp-sn
Kolozsváron	Kolozsvár	Np-sp
Kolumbia	Kolumbia	Np-sn
Kolumbusz	Kolumbusz	Np-sn
Kolumbuszéinál	Kolumbusz	Np-s3-----p
Komintern	Komintern	Np-sn
Kornélia	Kornélia	Np-sn
Kornéliának	Kornélia	Np-sd
Kornéliát	Kornélia	Np-sa
Kornéliával	Kornélia	Np-si
Kossuth	Kossuth	Np-sn
Kossuth-díjaikat	Kossuth-díj	Np-pa---p3
Kossuth-díjakat	Kossuth-díj	Np-pa
Kossuth-díjas	Kossuth-díjas	Afp-sn
Kristóf	Kristóf	Np-sn
Kristófhoz	Kristóf	Np-st
Kristófnak	Kristóf	Np-sd
Kristófot	Kristóf	Np-sa
Kristófra	Kristóf	Np-ss
Kristófról	Kristóf	Np-sh
Kriszta	Kriszta	Np-sn
Krisztina	Krisztina	Np-sn
Krisztina-babát	Krisztina-baba	Np-sa
Krisztinából	Krisztina	Np-se
Krisztinának	Krisztina	Np-sd
Krisztinára	Krisztina	Np-ss
Krisztináról	Krisztina	Np-sh
Krisztinát	Krisztina	Np-sa
Krisztinától	Krisztina	Np-sb
Krisztinával	Krisztina	Np-si
Krisztináé	Krisztina	Np-sn-----s
Krisztus	Krisztus	Np-sn
Krisztussal	Krisztus	Np-si
Krisztustól	Krisztus	Np-sb
Krúdy	Krúdy	Np-sn
Kupa	Kupa	Np-sn
Kupa-mérkőzésen	Kupa-mérkőzés	Np-sp
Kupában	Kupa	Np-s2
Kupájában	Kupa	Np-s2---s3
Káin	Káin	Np-sn
Kálmán	Kálmán	Np-sn
Kánaán	Kánaán	Np-sn
Károly	Károly	Np-sn
Károlyi	Károlyi	Afp-sn
Károlynak	Károly	Np-sd
Károlyról	Károly	Np-sh
Károlyt	Károly	Np-sa
Károlytól	Károly	Np-sb
Kárpátaljáról	Kárpátalja	Np-sh
Kína	Kína	Np-sn
Kínában	Kína	Np-s2
Kínát	Kína	Np-sa
